NMEA message,PGHP time stamp
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,11,35,6,435,219,,2190047,1,*21"
"!BSVDM,1,1,,B,B3@npBh0Bh>TBMWwpgw5swc5oP06,0*58","$PGHP,1,2018,11,19,11,35,22,362,219,,2190047,1,*12"
"!BSVDM,1,1,,A,B3@npBh0Ch>T<R7wq:o5SwqUoP06,0*4D","$PGHP,1,2018,11,19,11,35,52,33,219,,2190047,1,*22"
"!BSVDM,1,1,,B,B3@npBh0D0>T6B7wqcG;owc5oP06,0*3A","$PGHP,1,2018,11,19,11,36,22,329,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0C@>T1P7wrrOLKwc5oP06,0*11","$PGHP,1,2018,11,19,11,37,22,732,219,,2190047,1,*11"
"!BSVDM,1,1,,A,B3@npBh0Bh>T0`7wsQ7LOwqUoP06,0*26","$PGHP,1,2018,11,19,11,37,52,169,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0C0>SwO7wt8oKCwbUoP06,0*3D","$PGHP,1,2018,11,19,11,38,22,230,219,,2190047,1,*19"
"!BSVDM,1,1,,A,B3@npBh0Bh>SvW7wtj3OGwr5oP06,0*00","$PGHP,1,2018,11,19,11,38,52,869,219,,2190047,1,*18"
"!BSVDM,1,1,,B,B3@npBh0CP>SvAWwuJsLwwcUoP06,0*6F","$PGHP,1,2018,11,19,11,39,23,804,219,,2190047,1,*14"
"!BSVDM,1,1,,A,B3@npBh0Ch>Sum7wv1t0gwr5oP06,0*79","$PGHP,1,2018,11,19,11,39,52,445,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,B3@npBh0C0>SvFWwvaT3owbUoP06,0*61","$PGHP,1,2018,11,19,11,40,22,23,219,,2190047,1,*26"
"!BSVDM,1,1,,A,B3@npBh0C@>Swv7ww@t6kwqUoP06,0*51","$PGHP,1,2018,11,19,11,40,51,741,219,,2190047,1,*11"
"!BSVDM,1,1,,B,H3@npBhP5I=A9TLE8Dp00000000,2*09","$PGHP,1,2018,11,19,11,41,5,376,219,,2190047,1,*21"
"!BSVDM,1,1,,B,H3@npBlNDBE5847?H9>0001P;330,0*1E","$PGHP,1,2018,11,19,11,41,8,496,219,,2190047,1,*25"
"!BSVDM,1,1,,B,B3@npBh0C0>T1eWwwp44kwbUkP06,0*75","$PGHP,1,2018,11,19,11,41,21,881,219,,2190047,1,*14"
"!BSVDM,1,1,,A,B3@npBh0C@>T3:`00OH4SwqUoP06,0*00","$PGHP,1,2018,11,19,11,41,51,771,219,,2190047,1,*13"
"!BSVDM,1,1,,A,B3@npBh0Ch>T4I`01iP1GwqUoP06,0*72","$PGHP,1,2018,11,19,11,42,51,425,219,,2190047,1,*12"
"!BSVDM,1,1,,B,B3@npBh0CP>T4l`02Kp2Swc5oP06,0*08","$PGHP,1,2018,11,19,11,43,23,109,219,,2190047,1,*1D"
"!BSVDM,1,1,,A,B3@npBh0D0>T4v80347P?wqUoP06,0*6B","$PGHP,1,2018,11,19,11,43,52,234,219,,2190047,1,*16"
"!BSVDM,1,1,,B,B3@npBh0D0>T5O803dsOwwbUoP06,0*00","$PGHP,1,2018,11,19,11,44,21,375,219,,2190047,1,*11"
"!BSVDM,1,1,,A,B3@npBh0C@>T6:804Et37wqUoP06,0*0C","$PGHP,1,2018,11,19,11,44,51,935,219,,2190047,1,*18"
"!BSVDM,1,1,,A,B3@npBh0D@>T2t`05WcKSwqUoP06,0*01","$PGHP,1,2018,11,19,11,45,51,340,219,,2190047,1,*11"
"!BSVDM,1,1,,B,B3@npBh0D0>T1H`06BCK?wc5oP06,0*65","$PGHP,1,2018,11,19,11,46,22,368,219,,2190047,1,*1C"
"!BSVDM,1,1,,A,B3@npBh0CP>Swr`06r7JwwqUoP06,0*05","$PGHP,1,2018,11,19,11,46,51,619,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,11,47,5,347,219,,2190047,1,*25"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,11,47,7,343,219,,2190047,1,*23"
"!BSVDM,1,1,,B,B3@npBh0D@>Sv;`07WWJCwd5oP06,0*5C","$PGHP,1,2018,11,19,11,47,24,753,219,,2190047,1,*17"
"!BSVDM,1,1,,A,B3@npBh0Ch>StV`08?SLGwrUoP06,0*08","$PGHP,1,2018,11,19,11,47,54,284,219,,2190047,1,*1F"
"!BSVDM,1,1,,B,B3@npBh0D0>SsL`08lsL;wb5oP06,0*36","$PGHP,1,2018,11,19,11,48,21,132,219,,2190047,1,*1C"
"!BSVDM,1,1,,A,B3@npBh0CP>Sr>`09MkKwwq5oP06,0*41","$PGHP,1,2018,11,19,11,48,51,115,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0D0>Sq780:6CMwwb5oP06,0*32","$PGHP,1,2018,11,19,11,49,21,270,219,,2190047,1,*18"
"!BSVDM,1,1,,A,B3@npBh0Ch>SpP80:hgMGwqUoP06,0*31","$PGHP,1,2018,11,19,11,49,51,939,219,,2190047,1,*19"
"!BSVDM,1,1,,B,B3@npBh0CP>SoT`0;HSKgwb5oP06,0*09","$PGHP,1,2018,11,19,11,50,21,49,219,,2190047,1,*28"
"!BSVDM,1,1,,A,B3@npBh0D0>Sms80<1?J;wq5oP06,0*4C","$PGHP,1,2018,11,19,11,50,51,79,219,,2190047,1,*2C"
"!BSVDM,1,1,,B,B3@npBh0CP>Skw80<aKICwb5oP06,0*66","$PGHP,1,2018,11,19,11,51,21,62,219,,2190047,1,*20"
"!BSVDM,1,1,,A,B3@npBh0D0>Sj1`0=BkHowqUoP06,0*41","$PGHP,1,2018,11,19,11,51,51,326,219,,2190047,1,*14"
"!BSVDM,1,1,,B,B3@npBh0CP>ShB80=skK3wbUoP06,0*71","$PGHP,1,2018,11,19,11,52,21,528,219,,2190047,1,*18"
"!BSVDM,1,1,,A,B3@npBh0CP>Sfv80>W3KSwrUoP06,0*47","$PGHP,1,2018,11,19,11,52,53,586,219,,2190047,1,*19"
"!BSVDM,1,1,,B,H3@npBlNDBE5847?H9>0001P;330,0*1E","$PGHP,1,2018,11,19,11,53,6,753,219,,2190047,1,*22"
"!BSVDM,1,1,,B,B3@npBh0CP>SeB`0?:SLWwb5oP06,0*54","$PGHP,1,2018,11,19,11,53,21,105,219,,2190047,1,*12"
"!BSVDM,1,1,,A,B3@npBh0C0>Sd3`0?jkKSwq5oP06,0*3F","$PGHP,1,2018,11,19,11,53,50,916,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0C@>SbO80@M7LGwc5oP06,0*6B","$PGHP,1,2018,11,19,11,54,22,460,219,,2190047,1,*10"
"!BSVDM,1,1,,A,B3@npBh0CP>SaP80A47M;wr5kP06,0*74","$PGHP,1,2018,11,19,11,54,52,490,219,,2190047,1,*18"
"!BSVDM,1,1,,B,B3@npBh0Bh>S`I80AaCKowb5kP06,0*35","$PGHP,1,2018,11,19,11,55,21,100,219,,2190047,1,*11"
"!BSVDM,1,1,,A,B3@npBh0Bh>SVn`0BA?J?wqUoP06,0*06","$PGHP,1,2018,11,19,11,55,51,644,219,,2190048,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0Bh>SUA`0BnOJSwb5oP06,0*69","$PGHP,1,2018,11,19,11,56,20,863,219,,2190047,1,*1F"
"!BSVDM,1,1,,A,B3@npBh0Bh>SSo`0CLkK7wq5oP06,0*33","$PGHP,1,2018,11,19,11,56,51,189,219,,2190047,1,*14"
"!BSVDM,1,1,,B,B3@npBh0Bh>SRl80D4oNSwbUoP06,0*03","$PGHP,1,2018,11,19,11,57,21,562,219,,2190047,1,*13"
"!BSVDM,1,1,,A,B3@npBh0Bh>SQW`0DacICwq5oP06,0*5D","$PGHP,1,2018,11,19,11,57,51,264,219,,2190047,1,*15"
"!BSVDM,1,1,,B,B3@npBh0BP>SOw80E?wJcwb5oP06,0*7B","$PGHP,1,2018,11,19,11,58,20,577,219,,2190047,1,*19"
"!BSVDM,1,1,,A,B3@npBh0BP>SNR80Eo;KOwqUoP06,0*1E","$PGHP,1,2018,11,19,11,58,51,480,219,,2190048,1,*19"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,11,59,6,550,219,,2190047,1,*29"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,11,59,7,236,219,,2190048,1,*20"
"!BSVDM,1,1,,B,B3@npBh0BP>SMC`0FMGJGwbUoP06,0*10","$PGHP,1,2018,11,19,11,59,21,900,219,,2190047,1,*15"
"!BSVDM,1,1,,A,B3@npBh0Bh>SKd`0G1sIcwq5oP06,0*17","$PGHP,1,2018,11,19,11,59,51,134,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,B3@npBh0Bh>SJ5`0G`WKKwb5oP06,0*08","$PGHP,1,2018,11,19,12,0,21,211,219,,2190047,1,*21"
"!BSVDM,1,1,,A,B3@npBh0Bh>SHi`0HA7MSwqUoP06,0*76","$PGHP,1,2018,11,19,12,0,51,443,219,,2190047,1,*27"
"!BSVDM,1,1,,B,B3@npBh0BP>SGo80HnoM?wb5oP06,0*74","$PGHP,1,2018,11,19,12,1,20,412,219,,2190047,1,*24"
"!BSVDM,1,1,,A,B3@npBh0Bh>SFA`0IO3KGwqUoP06,0*49","$PGHP,1,2018,11,19,12,1,51,534,219,,2190047,1,*27"
"!BSVDM,1,1,,A,B3@npBh0Bh>SB1`0JbkEwwq5oP06,0*15","$PGHP,1,2018,11,19,12,2,50,626,219,,2190047,1,*25"
"!BSVDM,1,1,,B,B3@npBh0C0>S?P`0K@wFowb5oP06,0*64","$PGHP,1,2018,11,19,12,3,20,469,219,,2190047,1,*2A"
"!BSVDM,1,1,,B,B3@npBh0Bh>S:Q`0LNKF7wbUoP06,0*34","$PGHP,1,2018,11,19,12,4,21,496,219,,2190047,1,*2C"
"!BSVDM,1,1,,A,B3@npBh0C0>S8280M3CH;wq5oP06,0*52","$PGHP,1,2018,11,19,12,4,50,839,219,,2190047,1,*23"
"!BSVDM,1,1,,B,H3@npBhP5I=A9TLE8Dp00000000,2*09","$PGHP,1,2018,11,19,12,5,7,609,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,B3@npBh0C0>S66`0Mb3H7wb5oP06,0*3D","$PGHP,1,2018,11,19,12,5,20,542,219,,2190047,1,*24"
"!BSVDM,1,1,,A,B3@npBh0Bh>S3p`0N?sGwwq5oP06,0*66","$PGHP,1,2018,11,19,12,5,50,727,219,,2190047,1,*22"
"!BSVDM,1,1,,B,B3@npBh0BP>S1180Nn;DowbUoP06,0*37","$PGHP,1,2018,11,19,12,6,21,568,219,,2190047,1,*2E"
"!BSVDM,1,1,,B,B3@npBh0C0>Rt880P0?FGwb5oP06,0*15","$PGHP,1,2018,11,19,12,7,21,66,219,,2190047,1,*14"
"!BSVDM,1,1,,B,B3@npBh0C0>Rnu80Q9KD?waUoP06,0*27","$PGHP,1,2018,11,19,12,8,20,112,219,,2190047,1,*28"
"!BSVDM,1,1,,A,B3@npBh0Bh>Rl<`0QfgG7wpUoP06,0*07","$PGHP,1,2018,11,19,12,8,50,33,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,B3@npBh0BP>Rj7`0RE7I3waUoP06,0*5A","$PGHP,1,2018,11,19,12,9,20,142,219,,2190047,1,*2C"
"!BSVDM,1,1,,A,B3@npBh0B@>Rh680RuKJCwqUoP06,0*3D","$PGHP,1,2018,11,19,12,9,51,390,219,,2190047,1,*27"
"!BSVDM,1,1,,B,B3@npBh0BP>Rer`0SRcG7wbUoP06,0*5B","$PGHP,1,2018,11,19,12,10,22,217,219,,2190047,1,*15"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,12,11,6,695,219,,2190047,1,*2C"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,12,11,9,285,219,,2190047,1,*26"
"!BSVDM,1,1,,B,B3@npBh0BP>R`q`0TccG7wb5oP06,0*0B","$PGHP,1,2018,11,19,12,11,21,157,219,,2190047,1,*10"
"!BSVDM,1,1,,A,B3@npBh0B@>RVn`0UCsJcwr5oP06,0*49","$PGHP,1,2018,11,19,12,11,53,76,219,,2190047,1,*27"
"!BSVDM,1,1,,B,B3@npBh0B@>RU=`0UmcJowaUoP06,0*5B","$PGHP,1,2018,11,19,12,12,19,956,219,,2190047,1,*11"
"!BSVDM,1,1,,A,B3@npBh0B@>RT5`0VK3LCwpUoP06,0*1F","$PGHP,1,2018,11,19,12,12,50,19,219,,2190047,1,*2E"
"!BSVDM,1,1,,B,B3@npBh0B@>RSH80W2KN3wb5oP06,0*3E","$PGHP,1,2018,11,19,12,13,21,49,219,,2190047,1,*2C"
"!BSVDM,1,1,,B,B3@npBh0B0>ROT`0`:KB7wb5oP06,0*21","$PGHP,1,2018,11,19,12,14,21,205,219,,2190048,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0BP>RI4`0a@?Dowb5oP06,0*76","$PGHP,1,2018,11,19,12,15,20,425,219,,2190047,1,*15"
"!BSVDM,1,1,,A,B3@npBh0B0>RFE`0ajODGwpUoP06,0*6B","$PGHP,1,2018,11,19,12,15,50,98,219,,2190047,1,*20"
"!BSVDM,1,1,,B,B3@npBh0Ah>RCJ80bEGDOwaUoP06,0*5C","$PGHP,1,2018,11,19,12,16,19,833,219,,2190048,1,*18"
"!BSVDM,1,1,,A,B3@npBh0Ah>R@K`0br7Cwwq5oP06,0*0D","$PGHP,1,2018,11,19,12,16,50,738,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,H3@npBhP5I=A9TLE8Dp00000000,2*09","$PGHP,1,2018,11,19,12,17,5,309,219,,2190047,1,*29"
"!BSVDM,1,1,,A,B3@npBh0B0>R;j`0d13I7wpUoP06,0*66","$PGHP,1,2018,11,19,12,17,49,755,219,,2190047,1,*1C"
"!BSVDM,1,1,,B,B3@npBh0B0>R:>`0dV;KowaUoP06,0*14","$PGHP,1,2018,11,19,12,18,19,630,219,,2190048,1,*1B"
"!BSVDM,1,1,,B,B3@npBh0Ah>R6M80efkIkwaUoP06,0*0F","$PGHP,1,2018,11,19,12,19,19,662,219,,2190047,1,*12"
"!BSVDM,1,1,,A,B3@npBh0Ah>R4b80fCOICwpUoP06,0*1A","$PGHP,1,2018,11,19,12,19,49,568,219,,2190047,1,*1E"
"!BSVDM,1,1,,A,B3@npBh0B0>Qwm80gKGD?wpUoP06,0*7E","$PGHP,1,2018,11,19,12,20,50,161,219,,2190048,1,*1E"
"!BSVDM,1,1,,B,B3@npBh0B@>QuR80h2OJGwb5oP06,0*4A","$PGHP,1,2018,11,19,12,21,20,457,219,,2190048,1,*18"
"!BSVDM,1,1,,A,B3@npBh0B@>QtB80hW;KwwpUoP06,0*0A","$PGHP,1,2018,11,19,12,21,49,365,219,,2190048,1,*11"
"!BSVDM,1,1,,B,B3@npBh0B@>Qrr80i=gK7wb5oP06,0*3A","$PGHP,1,2018,11,19,12,22,20,566,219,,2190047,1,*17"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,12,23,6,681,219,,2190048,1,*27"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,12,23,7,337,219,,2190048,1,*2E"
"!BSVDM,1,1,,A,B3@npBh01@>Q5>`0qHs4;wpUoP06,0*61","$PGHP,1,2018,11,19,12,39,49,622,219,,2190048,1,*1E"
"!BSVDM,1,1,,B,H3@npBhP5I=A9TLE8Dp00000000,2*09","$PGHP,1,2018,11,19,12,41,5,703,219,,2190047,1,*24"
"!BSVDM,1,1,,B,H3@npBlNDBE5847?H9>0001P;330,0*1E","$PGHP,1,2018,11,19,12,41,7,357,219,,2190047,1,*23"
"!BSVDM,1,1,,B,B3@npBh020>Q0h80qUrmOwp5oP06,0*4B","$PGHP,1,2018,11,19,12,42,48,850,219,,2190047,1,*17"
"!BSVDM,1,1,,A,B3@npBh01P>Psd`0qirjgwpUoP06,0*4E","$PGHP,1,2018,11,19,12,45,49,544,219,,2190047,1,*19"
"!BSVDM,1,1,,B,B3@npBh0:@>PoI`0qn@0?wp5oP06,0*30","$PGHP,1,2018,11,19,12,46,48,667,219,,2190048,1,*16"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,12,47,5,889,219,,2190048,1,*20"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,12,47,7,777,219,,2190048,1,*2C"
"!BSVDM,1,1,,A,B3@npBh0Ah>PgP`0sE?6;wa5oP06,0*34","$PGHP,1,2018,11,19,12,48,19,37,219,,2190048,1,*2F"
"!BSVDM,1,1,,B,B3@npBh0Bh>P`Q`0seG0WwpUoP06,0*71","$PGHP,1,2018,11,19,12,48,49,987,219,,2190048,1,*18"
"!BSVDM,1,1,,B,B3@npBh0C@>PKq`0tW793wq5oP06,0*1A","$PGHP,1,2018,11,19,12,49,50,577,219,,2190048,1,*12"
"!BSVDM,1,1,,A,B3@npBh0C@>PF<80u5g5wwb5oP06,0*69","$PGHP,1,2018,11,19,12,50,20,638,219,,2190048,1,*15"
"!BSVDM,1,1,,B,B3@npBh0C@>P@I80uOc4Wwp5oP06,0*54","$PGHP,1,2018,11,19,12,50,48,873,219,,2190048,1,*1A"
"!BSVDM,1,1,,A,B3@npBh0Bh>P9a`0uuO5Owb5oP06,0*6A","$PGHP,1,2018,11,19,12,51,20,822,219,,2190048,1,*11"
"!BSVDM,1,1,,B,B3@npBh0C@>P3a`0vGo3cwp5oP06,0*63","$PGHP,1,2018,11,19,12,51,49,167,219,,2190048,1,*16"
"!BSVDM,1,1,,A,B3@npBh0C0>Otu`0vl32owa5kP06,0*33","$PGHP,1,2018,11,19,12,52,18,526,219,,2190048,1,*10"
"!BSVDM,1,1,,B,B3@npBh0C0>OnL80w>g3Gwp5oP06,0*70","$PGHP,1,2018,11,19,12,52,48,368,219,,2190047,1,*16"
"!BSVDM,1,1,,B,H3@npBhP5I=A9TLE8Dp00000000,2*09","$PGHP,1,2018,11,19,12,53,5,232,219,,2190047,1,*20"
"!BSVDM,1,1,,B,B3@npBh0C@>O`c8100g53wp5oP06,0*1B","$PGHP,1,2018,11,19,12,53,48,522,219,,2190047,1,*1F"
"!BSVDM,1,1,,A,B3@npBh0C@>ORc`10NO7swa5oP06,0*77","$PGHP,1,2018,11,19,12,54,18,333,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,B3@npBh0D0>OMG`10wG;swp5oP06,0*14","$PGHP,1,2018,11,19,12,54,48,706,219,,2190048,1,*13"
"!BSVDM,1,1,,A,B3@npBh0CP>OHb811Rs@wwa5kP06,0*72","$PGHP,1,2018,11,19,12,55,18,860,219,,2190047,1,*17"
"!BSVDM,1,1,,B,B3@npBh0CP>OE;`129WB?wp5oP06,0*6E","$PGHP,1,2018,11,19,12,55,48,313,219,,2190048,1,*12"
"!BSVDM,1,1,,A,B3@npBh0DP>OB3`12goESw`UkP06,0*1C","$PGHP,1,2018,11,19,12,56,18,265,219,,2190047,1,*1B"
"!BSVDM,1,1,,B,B3@npBh0Ch>O?1`13IOF?wp5oP06,0*4B","$PGHP,1,2018,11,19,12,56,48,934,219,,2190048,1,*1E"
"!BSVDM,1,1,,A,B3@npBh0D@>O<<8142;GOwa5oP06,0*59","$PGHP,1,2018,11,19,12,57,18,418,219,,2190048,1,*19"
"!BSVDM,1,1,,A,B3@npBh09h>O47814kj`7w`UkP06,0*3D","$PGHP,1,2018,11,19,12,58,18,72,219,,2190047,1,*21"
"!BSVDM,1,1,,B,B3@npBh07P>O1b814cjNSwp5oP06,0*6E","$PGHP,1,2018,11,19,12,58,48,570,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,H3@npBhP5I=A9TLE8Dp00000000,2*0A","$PGHP,1,2018,11,19,12,59,6,915,219,,2190047,1,*27"
"!BSVDM,1,1,,A,H3@npBlNDBE5847?H9>0001P;330,0*1D","$PGHP,1,2018,11,19,12,59,7,586,219,,2190048,1,*2F"
"!BSVDM,1,1,,A,B3@npBh0=P>Nv<`14rCG;wb5oP06,0*6C","$PGHP,1,2018,11,19,12,59,20,971,219,,2190047,1,*11"
"!BSVDM,1,1,,B,B3@npBh0C0>Nt6815I;>wwp5kP06,0*40","$PGHP,1,2018,11,19,12,59,49,113,219,,2190048,1,*1D"
"!BSVDM,1,1,,B,B3@ns>00Eh>M`M80U4RtFDQUoP06,0*2D","$PGHP,1,2018,11,19,11,0,4,205,219,,2190047,1,*10"
"!BSVDM,1,1,,B,B3@ns>00E0>MG3`0Ubru>D1UoP06,0*1B","$PGHP,1,2018,11,19,11,1,3,971,219,,2190047,1,*1E"
"!BSVDM,1,1,,A,B3@ns>00EP>M>2`0Uvjn:@A5oP06,0*07","$PGHP,1,2018,11,19,11,1,34,720,219,,2190047,1,*20"
"!BSVDM,1,1,,B,B3@ns>00DP>M4u`0VBJqF@RUoP06,0*4F","$PGHP,1,2018,11,19,11,2,6,234,219,,2190047,1,*12"
"!BSVDM,1,1,,A,B3@ns>00DP>LtQ`0VQjmjA@UoP06,0*39","$PGHP,1,2018,11,19,11,2,33,909,219,,2190047,1,*21"
"!BSVDM,1,1,,B,H3@ns>0aEHDqAE<000000000000,2*77","$PGHP,1,2018,11,19,11,2,52,864,219,,2190047,1,*2C"
"!BSVDM,1,1,,B,H3@ns>4NDBE5847mA4E0001P2220,0*1D","$PGHP,1,2018,11,19,11,2,53,597,219,,2190047,1,*2C"
"!BSVDM,1,1,,B,B3@ns>00D0>LkO80VnJr2A25oP06,0*49","$PGHP,1,2018,11,19,11,3,5,251,219,,2190047,1,*13"
"!BSVDM,1,1,,A,B3@ns>00F0>LbL`0W7nw2GA5oP06,0*16","$PGHP,1,2018,11,19,11,3,34,627,219,,2190047,1,*24"
"!BSVDM,1,1,,A,B3@ns>00F0>LHs80WbNn2B@UoP06,0*53","$PGHP,1,2018,11,19,11,4,33,940,219,,2190047,1,*2A"
"!BSVDM,1,1,,B,B3@ns>00E@>L>v80Ws:oVB35oP06,0*43","$PGHP,1,2018,11,19,11,5,7,59,219,,2190048,1,*22"
"!BSVDM,1,1,,B,B3@ns>00>0>Kvk80`>s<RVR5oP06,0*0B","$PGHP,1,2018,11,19,11,6,4,440,219,,2190047,1,*11"
"!BSVDM,1,1,,A,B3@ns>008P>L0P`0`SDqToj5oP06,0*5C","$PGHP,1,2018,11,19,11,6,36,670,219,,2190047,1,*21"
"!BSVDM,1,1,,B,B3@ns>00;@>L3h80`NMDa8QUoP06,0*37","$PGHP,1,2018,11,19,11,7,4,132,219,,2190047,1,*10"
"!BSVDM,1,1,,A,B3@ns>0060>L73`0`E@nHm@UoP06,0*0F","$PGHP,1,2018,11,19,11,7,33,444,219,,2190048,1,*2F"
"!BSVDM,1,1,,B,B3@ns>001P>L7Q80`I47=125oP06,0*4B","$PGHP,1,2018,11,19,11,8,4,551,219,,2190047,1,*1E"
"!BSVDM,1,1,,A,B3@ns>0020>L7O`0`Kt7M4hUoP06,0*60","$PGHP,1,2018,11,19,11,8,33,613,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,H3@ns>0aEHDqAE<000000000000,2*74","$PGHP,1,2018,11,19,11,8,52,271,219,,2190047,1,*28"
"!BSVDM,1,1,,A,H3@ns>4NDBE5847mA4E0001P2220,0*1E","$PGHP,1,2018,11,19,11,8,52,973,219,,2190048,1,*2E"
"!BSVDM,1,1,,B,B3@ns>000@>L7J80`Lt1A41UoP06,0*18","$PGHP,1,2018,11,19,11,9,3,363,219,,2190048,1,*10"
"!BSVDM,1,1,,A,B3@ns>0030>L7580`PC>E6hUoP06,0*6C","$PGHP,1,2018,11,19,11,9,33,393,219,,2190047,1,*23"
"!BSVDM,1,1,,B,B3@ns>001@>L6s80`PvoI325oP06,0*0D","$PGHP,1,2018,11,19,11,10,4,562,219,,2190047,1,*27"
"!BSVDM,1,1,,A,B3@ns>002@>L6j80`SkAu1@UoP06,0*08","$PGHP,1,2018,11,19,11,10,33,468,219,,2190047,1,*18"
"!BSVDM,1,1,,B,B3@ns>001@>L4p`0`okAI4@UoP06,0*4D","$PGHP,1,2018,11,19,11,13,33,586,219,,2190048,1,*15"
"!BSVDM,1,1,,B,H3@ns>0aEHDqAE<000000000000,2*77","$PGHP,1,2018,11,19,11,14,53,926,219,,2190047,1,*1D"
"!BSVDM,1,1,,B,H3@ns>4NDBE5847mA4E0001P2220,0*1D","$PGHP,1,2018,11,19,11,14,55,471,219,,2190047,1,*14"
"!BSVDM,1,1,,A,B3@ns>000h>L40`0a6?GQ9hUkP06,0*14","$PGHP,1,2018,11,19,11,16,34,172,219,,2190047,1,*17"
"!BSVDM,1,1,,B,B3@ns>0010>L4880aAL2<ji5oP06,0*34","$PGHP,1,2018,11,19,11,19,34,462,219,,2190047,1,*1C"
"!BSVDM,1,1,,A,B3@ns>00Bh>L8G80aqd<H>hUoP06,0*38","$PGHP,1,2018,11,19,11,20,33,321,219,,2190047,1,*11"
"!BSVDM,1,1,,A,H3@ns>0aEHDqAE<000000000000,2*74","$PGHP,1,2018,11,19,11,20,54,225,219,,2190047,1,*15"
"!BSVDM,1,1,,A,H3@ns>4NDBE5847mA4E0001P2220,0*1E","$PGHP,1,2018,11,19,11,20,56,674,219,,2190047,1,*17"
"!BSVDM,1,1,,A,B3@ns>00Dh>L:D`0c3kAJW@5oP06,0*76","$PGHP,1,2018,11,19,11,21,32,991,219,,2190048,1,*1F"
"!BSVDM,1,1,,B,B3@ns>00E@>L9o80chD?tA25oP06,0*7C","$PGHP,1,2018,11,19,11,22,4,331,219,,2190047,1,*26"
"!BSVDM,1,1,,A,B3@ns>00EP>L=w80dHt6H<i5oP06,0*77","$PGHP,1,2018,11,19,11,22,34,346,219,,2190047,1,*15"
"!BSVDM,1,1,,B,B3@ns>00E0>L>u80e3WKt1QUoP06,0*58","$PGHP,1,2018,11,19,11,23,3,346,219,,2190047,1,*20"
"!BSVDM,1,1,,A,B3@ns>00EP>L?``0ehwPl6hUoP06,0*31","$PGHP,1,2018,11,19,11,23,34,125,219,,2190047,1,*13"
"!BSVDM,1,1,,B,B3@ns>00F@>L@u`0fNH6861UoP06,0*3A","$PGHP,1,2018,11,19,11,24,4,15,219,,2190047,1,*15"
"!BSVDM,1,1,,A,B3@ns>00FP>LBe`0g=l5<8i5oP06,0*5C","$PGHP,1,2018,11,19,11,24,34,856,219,,2190047,1,*19"
"!BSVDM,1,1,,B,B3@ns>00Fh>LDg80gr80T4QUoP06,0*19","$PGHP,1,2018,11,19,11,25,3,716,219,,2190048,1,*28"
"!BSVDM,1,1,,A,B3@ns>00E0>LCn`0h`gFvjhUoP06,0*66","$PGHP,1,2018,11,19,11,25,33,340,219,,2190047,1,*13"
"!BSVDM,1,1,,B,B3@ns>00F@>LDA80iHL6p925oP06,0*7B","$PGHP,1,2018,11,19,11,26,4,540,219,,2190047,1,*22"
"!BSVDM,1,1,,A,B3@ns>00G@>LEj`0j5P7<7@UoP06,0*38","$PGHP,1,2018,11,19,11,26,33,494,219,,2190047,1,*1E"
"!BSVDM,1,1,,B,H3@ns>0aEHDqAE<000000000000,2*77","$PGHP,1,2018,11,19,11,26,52,183,219,,2190047,1,*1A"
